wilayah,tahun,periode,id_periode,nilai_struktur,nasional,nilai_pertumbuhan,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator,,
1000,2021,01,202101,3.33,4.44,,,,,2022-10-24,%,Badan Pusat Statistik,64,Pertanian, Kehutanan, dan Perikanan
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
keterangan : kolom periode harus dua digit contoh 00 ,,,,,,,,,,,,,,,,
format data upload harus csv,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Id,Nama Indikator,,,,,,,,,,,,,,,
64,Pertanian, Kehutanan, dan Perikanan,,,,,,,,,,,,,
65,Pertambangan dan Penggalian,,,,,,,,,,,,,,,
66,Industri Pengolahan,,,,,,,,,,,,,,,
67,Pengadaan Listrik dan Gas,,,,,,,,,,,,,,,
68,Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang,,,,,,,,,,,,,
69,Konstruksi,,,,,,,,,,,,,,,
70,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",,,,,,,,,,,,,,,
71,Transportasi dan Pergudangan,,,,,,,,,,,,,,,
72,Penyediaan Akomodasi dan Makan Minum,,,,,,,,,,,,,,,
73,Informasi dan Komunikasi,,,,,,,,,,,,,,,
74,Jasa Keuangan dan Asuransi,,,,,,,,,,,,,,,
75,Real Estat,,,,,,,,,,,,,,,
76,Jasa Perusahaan,,,,,,,,,,,,,,,
77,Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib,,,,,,,,,,,,,,
78,Jasa Pendidikan,,,,,,,,,,,,,,,
79,Jasa Kesehatan dan Kegiatan Sosial,,,,,,,,,,,,,,,
80,Jasa Lainnya,,,,,,,,,,,,,,,
81,Produk Domestik Regional Bruto dengan migas,,,,,,,,,,,,,,,
