wilayah,tahun,periode,id_periode,nilai,nasional,target,versi,satuan,sumber,id_indikator,nama_indikator
1000,2020,3,202003,26424020,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1100,2020,3,202003,814910,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1200,2020,3,202003,1283290,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1300,2020,3,202003,344230,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1400,2020,3,202003,483390,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1500,2020,3,202003,277800,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1600,2020,3,202003,1081580,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1700,2020,3,202003,302580,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1800,2020,3,202003,1049320,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
1900,2020,3,202003,68390,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
2100,2020,3,202003,131970,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
3100,2020,3,202003,480860,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
3200,2020,3,202003,3920230,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
3300,2020,3,202003,3980900,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
3400,2020,3,202003,475720,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
3500,2020,3,202003,4419100,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
3600,2020,3,202003,775990,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
5100,2020,3,202003,165190,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
5200,2020,3,202003,713890,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
5300,2020,3,202003,1153760,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
6100,2020,3,202003,366770,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
6200,2020,3,202003,132940,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
6300,2020,3,202003,187870,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
6400,2020,3,202003,230260,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
6500,2020,3,202003,51790,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
7100,2020,3,202003,192370,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
7200,2020,3,202003,398730,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
7300,2020,3,202003,776830,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
7400,2020,3,202003,301820,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
7500,2020,3,202003,185020,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
7600,2020,3,202003,152020,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
8100,2020,3,202003,318180,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
8200,2020,3,202003,86370,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
9100,2020,3,202003,208580,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
9400,2020,3,202003,911370,26424020,,2020-07-16,Orang,Badan Pusat Statistik,40,ind1_jumlahmiskin
