wilayah,tahun,periode,id_periode,nilai,nasional,target,target_makro_rpjmn ,target_rkpd,target_kewilayahan_rkp,versi,satuan,sumber,id_indikator,nama_indikator,,,
1000,2021,00,202100,40840996.37,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
1100,2021,00,202100,24775146.09,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
1200,2021,00,202100,36622430.12,40840996.37,,,38000000,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
1300,2021,00,202100,31193369.33,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
1400,2021,00,202100,71670558.27,40840996.37,,,70960000,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
1500,2021,00,202100,42260099.42,40840996.37,,,44150000,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
1600,2021,00,202100,37506032.68,40840996.37,,,39766000,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
1700,2021,00,202100,23725292.6,40840996.37,,,23400000,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
1800,2021,00,202100,28688099.75,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
1900,2021,00,202100,38227273.17,40840996.37,,,36500000,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
2100,2021,00,202100,76068790.99,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
3100,2021,00,202100,174374148.7,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
3200,2021,00,202100,30092828.22,40840996.37,,,29430000,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
3300,2021,00,202100,28562508.23,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
3400,2021,00,202100,27028501.08,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
3500,2021,00,202100,41565168.45,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
3600,2021,00,202100,35240397.12,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
5100,2021,00,202100,32210182.24,40840996.37,,,40000000,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
5200,2021,00,202100,18012041.14,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
5300,2021,00,202100,12621539.89,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
6100,2021,00,202100,27346460.32,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
6200,2021,00,202100,37577878.19,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
6300,2021,00,202100,31347018.38,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
6400,2021,00,202100,130577084.8,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
6500,2021,00,202100,87580421.52,40840996.37,,,69277500,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
7100,2021,00,202100,36266664.16,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
7200,2021,00,202100,48014934.79,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
7300,2021,00,202100,38342154.04,40840996.37,,,40720000,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
7400,2021,00,202100,35462233.89,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
7500,2021,00,202100,24341466.68,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
7600,2021,00,202100,23537624.4,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
8100,2021,00,202100,17557713.76,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
8200,2021,00,202100,25597210.18,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
9100,2021,00,202100,60759998.02,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
9400,2021,00,202100,46131999.3,40840996.37,,,,,2022-02-07,Rp,Badan Pusat Statistik,3,ind1_pdrbkapita_adhk,,,
